image_name,slide,sample_id,staining
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-33-TAG33,1,TAG33,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-33-TAG33,1,TAG33,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-33-TAG33,1,TAG33,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-34-TAG34,1,TAG34,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-34-TAG34,1,TAG34,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-34-TAG34,1,TAG34,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-34-TAG34,1,TAG34,Collagen4
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-35-TAG35,1,TAG35,DAPI
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-35-TAG35,1,TAG35,Laminin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-35-TAG35,1,TAG35,Dystrophin
22-082_10X_DAPI_Laminin_Dystrophin_Collagen4_4-Scene-35-TAG35,1,TAG35,Collagen4
22-082_10X_IgG_CD11b_1-Scene-1-TAG01,2,TAG01,IgG
22-082_10X_IgG_CD11b_1-Scene-1-TAG01,2,TAG01,CD11b
22-082_10X_IgG_CD11b_1-Scene-2-TAG02,2,TAG02,IgG
22-082_10X_IgG_CD11b_1-Scene-2-TAG02,2,TAG02,CD11b
22-082_10X_IgG_CD11b_1-Scene-3-TAG03,2,TAG03,IgG
22-082_10X_IgG_CD11b_1-Scene-3-TAG03,2,TAG03,CD11b
22-082_10X_IgG_CD11b_1-Scene-4-TAG04,2,TAG04,IgG
22-082_10X_IgG_CD11b_1-Scene-4-TAG04,2,TAG04,CD11b
22-082_10X_IgG_CD11b_1-Scene-5-TAG05,2,TAG05,IgG
22-082_10X_IgG_CD11b_1-Scene-5-TAG05,2,TAG05,CD11b
22-082_10X_IgG_CD11b_2-Scene-21-TAG21,2,TAG21,IgG
22-082_10X_IgG_CD11b_2-Scene-21-TAG21,2,TAG21,CD11b
22-082_10X_IgG_CD11b_2-Scene-22-TAG22,2,TAG22,IgG
22-082_10X_IgG_CD11b_2-Scene-22-TAG22,2,TAG22,CD11b
22-082_10X_IgG_CD11b_2-Scene-23-TAG23,2,TAG23,IgG
22-082_10X_IgG_CD11b_2-Scene-23-TAG23,2,TAG23,CD11b
22-082_10X_IgG_CD11b_2-Scene-24-TAG24,2,TAG24,IgG
22-082_10X_IgG_CD11b_2-Scene-24-TAG24,2,TAG24,CD11b
22-082_10X_IgG_CD11b_2-Scene-25-TAG25,2,TAG25,IgG
22-082_10X_IgG_CD11b_2-Scene-25-TAG25,2,TAG25,CD11b
22-082_10X_IgG_CD11b_3-Scene-26-TAG26,2,TAG26,IgG
22-082_10X_IgG_CD11b_3-Scene-26-TAG26,2,TAG26,CD11b
22-082_10X_IgG_CD11b_3-Scene-27-TAG27,2,TAG27,IgG
22-082_10X_IgG_CD11b_3-Scene-27-TAG27,2,TAG27,CD11b
22-082_10X_IgG_CD11b_3-Scene-28-TAG28,2,TAG28,IgG
22-082_10X_IgG_CD11b_3-Scene-28-TAG28,2,TAG28,CD11b
22-082_10X_IgG_CD11b_3-Scene-29-TAG29,2,TAG29,IgG
22-082_10X_IgG_CD11b_3-Scene-29-TAG29,2,TAG29,CD11b
22-082_10X_IgG_CD11b_4-Scene-31-TAG31,2,TAG31,IgG
22-082_10X_IgG_CD11b_4-Scene-31-TAG31,2,TAG31,CD11b
22-082_10X_IgG_CD11b_4-Scene-32-TAG32,2,TAG32,IgG
22-082_10X_IgG_CD11b_4-Scene-32-TAG32,2,TAG32,CD11b
22-082_10X_IgG_CD11b_4-Scene-33-TAG33,2,TAG33,IgG
22-082_10X_IgG_CD11b_4-Scene-33-TAG33,2,TAG33,CD11b
22-082_10X_IgG_CD11b_4-Scene-34-TAG34,2,TAG34,IgG
22-082_10X_IgG_CD11b_4-Scene-34-TAG34,2,TAG34,CD11b
22-082_10X_IgG_CD11b_4-Scene-35-TAG35,2,TAG35,IgG
22-082_10X_IgG_CD11b_4-Scene-35-TAG35,2,TAG35,CD11b
22-082_10X_NADH_1-Scene-1-TAG01,3,TAG01,NADH
22-082_10X_NADH_1-Scene-2-TAG02,3,TAG02,NADH
22-082_10X_NADH_1-Scene-3-TAG03,3,TAG03,NADH
22-082_10X_NADH_1-Scene-4-TAG04,3,TAG04,NADH
22-082_10X_NADH_1-Scene-5-TAG05,3,TAG05,NADH
22-082_10X_NADH_2-Scene-21-TAG21,3,TAG21,NADH
22-082_10X_NADH_2-Scene-22-TAG22,3,TAG22,NADH
